timestamp,price
2025-04-05 22:25:10,75710
2025-04-06 01:45:04,76185
2025-04-06 01:45:13,76185
2025-04-06 01:46:11,76183
2025-04-06 01:47:05,76147
2025-04-06 01:48:06,76158
2025-04-06 09:22:32,75727
2025-04-06 09:27:35,75773
2025-04-06 10:29:10,75546
2025-04-06 11:29:19,75453
2025-04-06 16:40:21,75105
2025-04-06 17:05:01,74710
2025-04-06 17:10:02,74732
2025-04-06 17:15:02,74624
2025-04-06 17:20:01,74577
2025-04-06 17:25:01,74617
2025-04-06 17:30:02,74381
2025-04-06 17:35:02,74234
2025-04-06 17:40:02,74293
2025-04-06 17:45:02,74210
2025-04-06 17:50:02,74003
2025-04-06 17:55:02,73794
2025-04-06 18:00:01,73671
2025-04-06 18:10:02,73137
2025-04-06 18:15:01,73340
2025-04-06 18:20:01,73017
2025-04-06 18:25:02,72807
2025-04-06 18:45:02,72416
2025-04-06 18:50:01,72199
2025-04-06 18:55:03,71855
2025-04-06 19:00:02,72154
2025-04-06 19:05:02,72301
2025-04-06 19:10:02,72146
2025-04-06 19:15:01,72235
2025-04-06 19:20:01,72747
2025-04-06 19:25:02,72535
2025-04-06 19:30:02,72249
2025-04-06 19:35:01,72556
2025-04-06 19:40:01,72749
2025-04-06 19:45:01,72597
2025-04-06 19:50:01,72181
2025-04-06 19:55:02,72315
2025-04-06 20:00:02,72713
2025-04-06 20:05:01,72811
